Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 29,411.840829,161,1218.378873,207,465.345279,84,2095.564981,445,20,22.25,41.441,25.122,13.245,61.52302651,6812.125,0.057,1.504,2.162,2.56,1.606,2.672,2.024,40.644,3.402,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 3,376.857613,122,1116.820489,196,439.132014,80,1932.810116,398,19,20.947,36.368,25.058,14.551,63.12461392,6579.679,0.052,1.531,1.975,2.348,1.88,2.92,2.269,35.763,4.863,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 30,410.547978,147,1383.079425,235,508.108914,84,2301.736317,456,19,24,44.807,26.384,13.532,64.3373154,7732.676,0.077,1.459,1.943,2.116,1.674,2.943,2.273,40.871,5.703,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 31,458.93217,149,1417.297017,261,510.63657,90,2386.865757,496,19,26.105,41.294,28.335,15.4,70.22833296,8826.16,0.065,1.423,1.653,2.18,1.801,3.215,2.374,40.53,4.743,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 32,504.077039,162,1565.747482,304,554.836736,92,2624.661257,545,21,25.952,45.394,28.628,16.819,72.00347107,9775.205,0.146,1.401,1.603,2.149,1.961,2.931,2.397,39.57,9.975,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 33,509.83129,150,1564.469469,276,577.967769,96,2652.268528,514,19,27.053,42.557,30.12,16.807,75.07728891,10478.274,0.071,1.538,1.65,2.135,2.062,3.359,2.552,42.584,3.455,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 34,358.666108,138,1186.35929,197,428.83682,87,1973.862218,412,20,20.6,42.31,22.848,12.96,57.26118625,6129.522,0.066,1.516,2.21,2.206,1.707,2.593,1.914,37.857,7.14,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 35,287.491462,126,907.571427,170,361.299223,77,1556.362112,367,20,18.35,35.435,21.816,11.345,53.30334612,4361.258,0.05,1.324,2.207,2.221,1.542,2.25,1.962,32.597,5.882,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 36,354.543656,140,1146.706946,213,410.359179,83,1911.609781,433,19,22.789,40.33,23.924,12.57,58.42302062,5925.549,0.067,1.362,1.903,2.128,1.521,2.616,2.173,37.522,4.932,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 37,376.226826,140,1263.01269,187,441.340474,79,2080.57999,381,19,20.053,39.652,24.112,18.382,61.76612545,6504.811,0.293,1.496,2.113,2.16,1.529,2.858,2.279,35.219,6.991,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 38,423.338045,162,1382.109688,224,488.169182,88,2293.616915,463,19,24.368,44.867,25.84,14.25,64.09554946,7912.279,0.085,1.549,2.074,2.505,1.67,2.918,2.217,43.639,3.493,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 39,495.654131,157,1475.461263,237,544.326749,90,2515.442143,464,19,24.421,43.077,28.665,15.316,71.23182274,9351.699,0.056,1.632,1.879,2,1.87,3.258,2.37,40.894,4.431,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 4,510.068731,173,1395.922201,223,556.751863,79,2462.742795,453,18,25.167,41.807,27.873,16.11,69.90329054,9177.125,0.066,1.36,1.92,2.337,2.065,3.374,2.791,41.536,4.198,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 40,357.248362,154,1182.360207,225,420.051309,87,1959.659878,456,21,21.714,41.522,26.922,9.288,61.36339185,4326.95,0.204,1.285,1.988,2.09,1.427,2.332,2.113,36.131,9.898,0,0,0,0
